reaction_id,level_A_module,level_B_subsystems,level_C_family,n_reactants,n_products,rate_law,reverse_partner_id,net_particle_number_change,free_ATP_net,free_ADP_net,free_AMP_net,free_GTP_net,free_GDP_net,free_PPi_net,free_Pi_PO4_net,free_CP_net,candidate_label,candidate_reason,required_assumption,conservation_consequence,osmotic_consequence,ionic_strength_consequence,data_needed_to_validate,HUMAN_REVIEW_REQUIRED
re0000000027,elongation,Elongation_Ca2_pept0002,reversible_binding_step,1,2,k1 * elRS70SAGGU0002_fMet_GlytRNAGlyGCC,re0000000064,1,0,0,0,0,0,0,0,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000028,elongation,Elongation_Ca2_pept0002,reversible_binding_step,1,2,k1 * elRS70SAGGU0002_fMet_EFTu_GDP,re0000000065,1,0,0,0,0,0,0,0,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000029,elongation,Elongation_A_Gly|Elongation_A_Met|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003,elongation_step,1,1,k1 * EFTu,,0,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000030,elongation,Elongation_B|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Termination_C,elongation_step,1,1,k1 * EFG,,0,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000031,aminoacylation,Aminoacylation_B_GlyGCC|Elongation_A_Gly|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003,aminoacylation_step,1,1,k1 * GlytRNAGlyGCC,,0,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000032,elongation,Elongation_Ca1_GlyGCC|Elongation_Ca2_pept0002,elongation_step,1,1,k1 * Pept0002tRNAGlyGCC,,0,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000033,elongation,Elongation_Ca2_pept0002,elongation_step,1,7,k1 * elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,,6,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000034,elongation,Elongation_Ca2_pept0002,elongation_step,1,7,k1 * elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,,6,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000035,elongation,Elongation_Ca2_pept0002,elongation_step,1,7,k1 * elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,,6,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000036,elongation,Elongation_Ca2_pept0002,elongation_step,1,8,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,,7,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000037,elongation,Elongation_Ca2_pept0002,elongation_step,1,8,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,,7,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000038,elongation,Elongation_Ca2_pept0002,elongation_step,1,8,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,,7,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000039,elongation,Elongation_Ca2_pept0002,elongation_step,1,7,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,,6,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000040,elongation,Elongation_Ca2_pept0002,elongation_step,1,7,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,,6,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000041,elongation,Elongation_Ca2_pept0002,elongation_step,1,7,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,,6,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000042,elongation,Elongation_Ca2_pept0002,elongation_step,1,6,k1 * elRS70SAGGU0002_fMet_EFTu_GDP,,5,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000043,elongation,Elongation_Ca2_pept0002,elongation_step,1,6,k1 * elRS70SAGGU0002_fMet_EFTu_GDP,,5,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000044,elongation,Elongation_Ca2_pept0002,elongation_step,1,6,k1 * elRS70SAGGU0002_fMet_EFTu_GDP,,5,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000045,elongation,Elongation_Ca2_pept0002,elongation_step,1,5,k1 * elRS70SAGGU0002_fMet_GlytRNAGlyGCC,,4,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000046,elongation,Elongation_Ca2_pept0002,elongation_step,1,5,k1 * elRS70SAGGU0002_fMet_GlytRNAGlyGCC,,4,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
