species_id,sbml_initial_concentration,author_export_initial_value,functional_module,sbml_subsystems,primary_reduction_class,candidate_coarse_variable,conservation_family,scientific_review_class,detected_components,n_peptide,n_tRNA,n_RS30S,n_RS50S,n_ATP,n_ADP,n_AMP,n_GTP,n_GDP,n_GMP,n_PO4,n_PPi,n_CP,n_Cr,contains_ATP,contains_ADP,contains_AMP,contains_GTP,contains_GDP,contains_GMP,contains_PO4,contains_PPi,contains_CP,contains_Cr,reaction_as_reactant_count,reaction_as_product_count,confidence,needs_human_review,reason,rule_used
EFTu_GTP,1,0,translation_elongation,Elongation_A_Gly|Elongation_A_Met,LUMP_FUNCTIONAL_POOL,EFTu_active_pool,EFTu_active_pool,NONE,EFTu + GTP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,false,false,false,true,false,false,false,false,false,false,5,4,medium,false,soluble translation-factor nucleotide state,R18_factor_complex
EFTu_GTP_EFTs,1,0,translation_elongation,Elongation_A_Gly|Elongation_A_Met,LUMP_FUNCTIONAL_POOL,EFTu_active_pool,EFTu_active_pool;EFTs_active_pool,NONE,EFTu + GTP + EFTs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,false,false,false,true,false,false,false,false,false,false,4,2,medium,false,EF-Tu.EF-Ts exchange complex (tracked in BOTH per-protein totals); also counted in EFTs_active_pool,R18_factor_complex
EFTu_GTP_GlytRNAGlyGCC,1,0,translation_elongation,Elongation_A_Gly|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003,LUMP_FUNCTIONAL_POOL,EFTu_active_pool,EFTu_active_pool,NONE,EFTu + GTP + GlytRNAGlyGCC,0,1,0,0,0,0,0,1,0,0,0,0,0,0,false,false,false,true,false,false,false,false,false,false,5,3,medium,false,soluble factor complexed with aa-tRNA (spans factor + tRNA ledgers),R18_factor_complex
EFTu_GTP_MettRNAfMetCAU,1,0,translation_elongation,Elongation_A_Met,LUMP_FUNCTIONAL_POOL,EFTu_active_pool,EFTu_active_pool,NONE,EFTu + GTP + MettRNAfMetCAU,0,1,0,0,0,0,0,1,0,0,0,0,0,0,false,false,false,true,false,false,false,false,false,false,3,1,medium,false,soluble factor complexed with aa-tRNA (spans factor + tRNA ledgers),R18_factor_complex
EFTu_degraded,1,0,degradation,Elongation_A_Gly|Elongation_A_Met|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003,DEGRADED_SINK,,EFTu_degraded_pool,NONE,EFTu + degraded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,0,16,high,false,"explicit _degraded terminal state; tracked in *_degraded_pool, excluded from *_active_pool; conservation candidate is *_family_total",R01_degraded_suffix
FD,1,126.8498943,translation_initiation,FMet_tRNASynthesis,KEEP_EXPLICIT,,,SCIENTIFIC_DECISION_REQUIRED,FD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,3,5,medium,true,formylation cofactor outside the canonical resource list; retention is a model-resolution decision; module-label only: name-prior=aminoacylation vs topology=translation_initiation (species legitimately acts in several modules),R08_cofactor
GDP,1,0,energy_regeneration,Elongation_A_Gly|Elongation_A_Met|Elongation_B|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|EnergyRegeneration_B|Initiation_A|Initiation_C|SmallMolecules|Termination_B_RF1|Termination_B_RF2|Termination_C,KEEP_EXPLICIT,,,NONE,GDP,0,0,0,0,0,0,0,0,1,0,0,0,0,0,false,false,false,false,true,false,false,false,false,false,11,116,high,false,free small-molecule energy resource,R02_free_resource
GMP,1,0,energy_regeneration,SmallMolecules,KEEP_EXPLICIT,,,NONE,GMP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,false,false,false,false,false,true,false,false,false,false,2,2,high,false,free small-molecule energy resource,R02_free_resource
GTP,1,2500,energy_regeneration,Elongation_A_Gly|Elongation_A_Met|Elongation_B|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|EnergyRegeneration_B|Initiation_A|Initiation_B1|Initiation_B2|SmallMolecules|Termination_B_RF1|Termination_B_RF2|Termination_C,KEEP_EXPLICIT,,,NONE,GTP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,false,false,false,true,false,false,false,false,false,false,11,116,high,false,free small-molecule energy resource,R02_free_resource
Gly,1,300,aminoacylation,Aminoacylation_A_Gly|Aminoacylation_B_GlyGCC,KEEP_EXPLICIT,,,MODULE_LABEL_CONFLICT_ONLY,Gly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,6,10,high,false,free amino acid; module-label only: name-prior=amino_acid vs topology=aminoacylation (species legitimately acts in several modules),R03_free_aminoacid
GlyAMP,1,0,energy_regeneration,Aminoacylation_A_Gly|Aminoacylation_B_GlyGCC,ENZYME_INTERMEDIATE,,,MODULE_LABEL_CONFLICT_ONLY,Gly + AMP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,false,false,true,false,false,false,false,false,false,false,2,6,medium,false,free aminoacyl-adenylate (aaRS mechanism intermediate); AMP moiety recorded for the adenylate ledger; module-label only: name-prior=aminoacylation vs topology=energy_regeneration (species legitimately acts in several modules),R09_aminoacyl_amp
GlyRS,1,0.35,aminoacylation,Aminoacylation_A_Gly|Aminoacylation_B_GlyGCC,LUMP_FUNCTIONAL_POOL,GlyRS_active_pool,GlyRS_active_pool,NONE,GlyRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,7,6,high,false,free synthetase; member of <F>_active_pool (GlyRS and MetRS are not interchangeable),R15_bare_aars
GlyRS_AMP,1,0,aminoacylation,Aminoacylation_A_Gly|Aminoacylation_B_GlyGCC,ENZYME_INTERMEDIATE,,GlyRS_active_pool,NONE,GlyRS + AMP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,false,false,true,false,false,false,false,false,false,false,3,2,high,false,aminoacyl-tRNA synthetase intermediate complex,R12_aars_complex
GlyRS_AMP_GlytRNAGlyGCC,1,0,aminoacylation,Aminoacylation_B_GlyGCC,ENZYME_INTERMEDIATE,,GlyRS_active_pool,NONE,GlyRS + AMP + GlytRNAGlyGCC,0,1,0,0,0,0,1,0,0,0,0,0,0,0,false,false,true,false,false,false,false,false,false,false,4,3,high,false,aminoacyl-tRNA synthetase intermediate complex,R12_aars_complex
GlyRS_ATP,1,0,aminoacylation,Aminoacylation_A_Gly|Aminoacylation_B_GlyGCC,ENZYME_INTERMEDIATE,,GlyRS_active_pool,NONE,GlyRS + ATP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,4,3,high,false,aminoacyl-tRNA synthetase intermediate complex,R12_aars_complex
GlyRS_ATP_tRNAGlyGCC,1,0,aminoacylation,Aminoacylation_B_GlyGCC,ENZYME_INTERMEDIATE,,GlyRS_active_pool,NONE,GlyRS + ATP + tRNAGlyGCC,0,1,0,0,1,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,4,3,high,false,aminoacyl-tRNA synthetase intermediate complex,R12_aars_complex
GlyRS_Gly,1,0,aminoacylation,Aminoacylation_A_Gly|Aminoacylation_B_GlyGCC,ENZYME_INTERMEDIATE,,GlyRS_active_pool,NONE,GlyRS + Gly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,4,3,high,false,aminoacyl-tRNA synthetase intermediate complex,R12_aars_complex
GlyRS_GlyAMP,1,0,aminoacylation,Aminoacylation_A_Gly|Aminoacylation_B_GlyGCC,ENZYME_INTERMEDIATE,,GlyRS_active_pool,NONE,GlyRS + Gly + AMP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,false,false,true,false,false,false,false,false,false,false,4,3,high,false,aminoacyl-tRNA synthetase intermediate complex,R12_aars_complex
GlyRS_GlyAMP_PPi,1,0,aminoacylation,Aminoacylation_A_Gly|Aminoacylation_B_GlyGCC,ENZYME_INTERMEDIATE,,GlyRS_active_pool,NONE,GlyRS + Gly + AMP + PPi,0,0,0,0,0,0,1,0,0,0,0,1,0,0,false,false,true,false,false,false,false,true,false,false,4,3,high,false,aminoacyl-tRNA synthetase intermediate complex,R12_aars_complex
GlyRS_GlyAMP_PPi_tRNAGlyGCC,1,0,aminoacylation,Aminoacylation_B_GlyGCC,ENZYME_INTERMEDIATE,,GlyRS_active_pool,NONE,GlyRS + Gly + AMP + PPi + tRNAGlyGCC,0,1,0,0,0,0,1,0,0,0,0,1,0,0,false,false,true,false,false,false,false,true,false,false,4,3,high,false,aminoacyl-tRNA synthetase intermediate complex,R12_aars_complex
GlyRS_GlyAMP_tRNAGlyGCC,1,0,aminoacylation,Aminoacylation_B_GlyGCC,ENZYME_INTERMEDIATE,,GlyRS_active_pool,NONE,GlyRS + Gly + AMP + tRNAGlyGCC,0,1,0,0,0,0,1,0,0,0,0,0,0,0,false,false,true,false,false,false,false,false,false,false,4,3,high,false,aminoacyl-tRNA synthetase intermediate complex,R12_aars_complex
GlyRS_Gly_ATP,1,0,aminoacylation,Aminoacylation_A_Gly|Aminoacylation_B_GlyGCC,ENZYME_INTERMEDIATE,,GlyRS_active_pool,NONE,GlyRS + Gly + ATP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,5,4,high,false,aminoacyl-tRNA synthetase intermediate complex,R12_aars_complex
GlyRS_Gly_ATP_tRNAGlyGCC,1,0,aminoacylation,Aminoacylation_B_GlyGCC,ENZYME_INTERMEDIATE,,GlyRS_active_pool,NONE,GlyRS + Gly + ATP + tRNAGlyGCC,0,1,0,0,1,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,5,4,high,false,aminoacyl-tRNA synthetase intermediate complex,R12_aars_complex
GlyRS_Gly_tRNAGlyGCC,1,0,aminoacylation,Aminoacylation_B_GlyGCC,ENZYME_INTERMEDIATE,,GlyRS_active_pool,NONE,GlyRS + Gly + tRNAGlyGCC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,4,3,high,false,aminoacyl-tRNA synthetase intermediate complex,R12_aars_complex
GlyRS_GlytRNAGlyGCC,1,0,aminoacylation,Aminoacylation_B_GlyGCC,ENZYME_INTERMEDIATE,,GlyRS_active_pool,NONE,GlyRS + GlytRNAGlyGCC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,3,2,high,false,aminoacyl-tRNA synthetase intermediate complex,R12_aars_complex
GlyRS_degraded,1,0,degradation,Aminoacylation_A_Gly|Aminoacylation_B_GlyGCC,DEGRADED_SINK,,GlyRS_degraded_pool,NONE,GlyRS + degraded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,0,15,high,false,"explicit _degraded terminal state; tracked in *_degraded_pool, excluded from *_active_pool; conservation candidate is *_family_total",R01_degraded_suffix
GlyRS_tRNAGlyGCC,1,0,aminoacylation,Aminoacylation_B_GlyGCC,ENZYME_INTERMEDIATE,,GlyRS_active_pool,NONE,GlyRS + tRNAGlyGCC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,4,3,high,false,aminoacyl-tRNA synthetase intermediate complex,R12_aars_complex
GlytRNAGlyGCC,1,0,translation_elongation,Aminoacylation_B_GlyGCC|Elongation_A_Gly|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003,KEEP_EXPLICIT,,,MODULE_LABEL_CONFLICT_ONLY,GlytRNAGlyGCC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,9,33,high,false,aminoacyl/charged tRNA (distinct from peptidyl-tRNA); charging ledger entity; module-label only: name-prior=tRNA vs topology=translation_elongation (species legitimately acts in several modules),R05_charged_trna
GlytRNAGlyGCC_degraded,1,0,degradation,Aminoacylation_B_GlyGCC|Elongation_A_Gly|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003,DEGRADED_SINK,,,NONE,GlytRNAGlyGCC + degraded,0,1,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,0,2,high,false,"explicit _degraded terminal state; tracked in *_degraded_pool, excluded from *_active_pool; conservation candidate is *_family_total",R01_degraded_suffix
IF1,1,99,translation_initiation,Initiation_B1|Initiation_B2|Initiation_C,LUMP_FUNCTIONAL_POOL,IF1_active_pool,IF1_active_pool,NONE,IF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,23,76,high,false,free translation factor; member of <F>_active_pool (per-protein; factors are not interchangeable),R17_bare_factor
IF1_degraded,1,0,degradation,Initiation_B1|Initiation_B2|Initiation_C,DEGRADED_SINK,,IF1_degraded_pool,NONE,IF1 + degraded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,0,23,high,false,"explicit _degraded terminal state; tracked in *_degraded_pool, excluded from *_active_pool; conservation candidate is *_family_total",R01_degraded_suffix
IF2,1,4.1,translation_initiation,Initiation_A|Initiation_B1|Initiation_B2|Initiation_C,LUMP_FUNCTIONAL_POOL,IF2_active_pool,IF2_active_pool,NONE,IF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,3,60,high,false,free translation factor; member of <F>_active_pool (per-protein; factors are not interchangeable),R17_bare_factor
IF2_GDP,1,0,translation_initiation,Initiation_A|Initiation_C,LUMP_FUNCTIONAL_POOL,IF2_active_pool,IF2_active_pool,NONE,IF2 + GDP,0,0,0,0,0,0,0,0,1,0,0,0,0,0,false,false,false,false,true,false,false,false,false,false,6,5,medium,false,soluble translation-factor nucleotide state,R18_factor_complex
IF2_GTP,1,0,translation_initiation,Initiation_A|Initiation_B1|Initiation_B2,LUMP_FUNCTIONAL_POOL,IF2_active_pool,IF2_active_pool,NONE,IF2 + GTP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,false,false,false,true,false,false,false,false,false,false,15,14,medium,false,soluble translation-factor nucleotide state,R18_factor_complex
IF2_GTP_fMettRNAfMetCAU,1,0,translation_initiation,Initiation_A|Initiation_B1|Initiation_B2,LUMP_FUNCTIONAL_POOL,IF2_active_pool,IF2_active_pool,NONE,IF2 + GTP + fMettRNAfMetCAU,0,1,0,0,0,0,0,1,0,0,0,0,0,0,false,false,false,true,false,false,false,false,false,false,10,9,medium,false,soluble factor complexed with aa-tRNA (spans factor + tRNA ledgers),R18_factor_complex
IF2_degraded,1,0,degradation,Initiation_A|Initiation_B1|Initiation_B2|Initiation_C,DEGRADED_SINK,,IF2_degraded_pool,NONE,IF2 + degraded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,0,28,high,false,"explicit _degraded terminal state; tracked in *_degraded_pool, excluded from *_active_pool; conservation candidate is *_family_total",R01_degraded_suffix
IF3,1,4.9,translation_initiation,Initiation_B1|Initiation_B2|Initiation_C,LUMP_FUNCTIONAL_POOL,IF3_active_pool,IF3_active_pool,NONE,IF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,21,80,high,false,free translation factor; member of <F>_active_pool (per-protein; factors are not interchangeable),R17_bare_factor
IF3_degraded,1,0,degradation,Initiation_B1|Initiation_B2|Initiation_C,DEGRADED_SINK,,IF3_degraded_pool,NONE,IF3 + degraded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,0,25,high,false,"explicit _degraded terminal state; tracked in *_degraded_pool, excluded from *_active_pool; conservation candidate is *_family_total",R01_degraded_suffix
MK,1,5.6,energy_regeneration,EnergyRegeneration_C,LUMP_FUNCTIONAL_POOL,MK_active_pool,MK_active_pool,NONE,MK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,5,4,high,false,free energy enzyme; member of <F>_active_pool (enzymes are NOT interchangeable),R14_bare_energy_enzyme
MK_ADP_1,1,0,energy_regeneration,EnergyRegeneration_C,ENZYME_INTERMEDIATE,,MK_active_pool,NONE,MK + ADP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,false,true,false,false,false,false,false,false,false,false,3,2,high,false,"numeric suffix = distinct binding-site/configuration (e.g. ADP site 1); moiety composition ['MK', 'ADP'] confirmed by moiety balance in 5 reactions incl. re0000000390, re0000000391, re0000000394, re0000000395",R10b_numeric_site_topology
MK_ADP_2,1,0,energy_regeneration,EnergyRegeneration_C,ENZYME_INTERMEDIATE,,MK_active_pool,NONE,MK + ADP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,false,true,false,false,false,false,false,false,false,false,3,2,high,false,"numeric suffix = distinct binding-site/configuration (e.g. ADP site 2); moiety composition ['MK', 'ADP'] confirmed by moiety balance in 5 reactions incl. re0000000392, re0000000393, re0000000396, re0000000397",R10b_numeric_site_topology
MK_ADP_ADP,1,0,energy_regeneration,EnergyRegeneration_C,ENZYME_INTERMEDIATE,,MK_active_pool,NONE,MK + ADP + ADP,0,0,0,0,0,2,0,0,0,0,0,0,0,0,false,true,false,false,false,false,false,false,false,false,4,3,high,false,energy-enzyme substrate complex; bound resources + enzyme family recorded,R11_energy_enzyme_complex
MK_AMP,1,0,energy_regeneration,EnergyRegeneration_C,ENZYME_INTERMEDIATE,,MK_active_pool,NONE,MK + AMP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,false,false,true,false,false,false,false,false,false,false,3,2,high,false,energy-enzyme substrate complex; bound resources + enzyme family recorded,R11_energy_enzyme_complex
MK_ATP,1,0,energy_regeneration,EnergyRegeneration_C,ENZYME_INTERMEDIATE,,MK_active_pool,NONE,MK + ATP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,3,2,high,false,energy-enzyme substrate complex; bound resources + enzyme family recorded,R11_energy_enzyme_complex
MK_ATP_AMP,1,0,energy_regeneration,EnergyRegeneration_C,ENZYME_INTERMEDIATE,,MK_active_pool,NONE,MK + ATP + AMP,0,0,0,0,1,0,1,0,0,0,0,0,0,0,true,false,true,false,false,false,false,false,false,false,4,3,high,false,energy-enzyme substrate complex; bound resources + enzyme family recorded,R11_energy_enzyme_complex
MK_degraded,1,0,degradation,EnergyRegeneration_C,DEGRADED_SINK,,MK_degraded_pool,NONE,MK + degraded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,0,7,high,false,"explicit _degraded terminal state; tracked in *_degraded_pool, excluded from *_active_pool; conservation candidate is *_family_total",R01_degraded_suffix
